sample,total,trimmed-total,trimmed-pe,trimmed-orphans,merged,cluster_thres,clusters_total,clusters_min_cov,cluster_above_thres,queries
Windermere_01,78050,67527,63440,4087,31746,1.0,2049,3,305,33067
Windermere_02,72898,64649,60942,3707,34384,1.0,1738,3,438,31698
Windermere_03,38054,34282,32590,1692,17902,1.0,1151,3,157,16558
Windermere_04,43938,38568,36214,2354,15024,1.0,1088,3,178,19020
Windermere_05,52578,44622,41630,2992,19590,1.0,1346,3,228,21804
Windermere_06,41950,36741,34576,2165,13944,1.0,1115,3,198,17878
Windermere_07,3462,3144,2996,148,1698,1.0,149,3,30,1484
Windermere_08,43426,38439,35946,2493,15654,1.0,1446,3,252,18126
Windermere_09,58590,51724,48480,3244,22336,1.0,1707,3,279,25058
Windermere_10,81852,67540,62274,5266,8872,1.0,1099,3,359,33985
Windermere_11-0m,94870,77856,72106,5750,16650,1.0,1617,3,373,38906
Windermere_11-10m,67994,56402,52320,4082,19678,1.0,1682,3,273,27948
Windermere_11-20m,98508,83653,77858,5795,31372,1.0,2055,3,379,40998
Windermere_11-30m,17818,15078,14106,972,7416,1.0,429,3,59,7480
Windermere_11-40m,83384,67461,62214,5247,12182,1.0,1441,3,389,33827
Windermere_11-50m,82260,70409,65508,4901,30542,1.0,1915,3,341,34899
Windermere_11-60m,29312,26027,24556,1471,13712,1.0,854,3,125,12619
Windermere_12,64006,56025,52566,3459,17856,1.0,1574,3,261,27520
Windermere_13,61554,53916,50494,3422,13900,1.0,1412,3,284,26472
Windermere_14,63644,56299,53158,3141,21590,1.0,1617,3,259,27440
Windermere_15,42464,38187,36270,1917,19624,1.0,948,3,176,18896
Windermere_16,62730,55521,52248,3273,24982,1.0,1603,3,265,27282
Windermere_17,79044,71167,67686,3481,38018,1.0,1697,3,344,34904
Windermere_18,57032,50753,47866,2887,23526,1.0,1305,3,255,24913
Windermere_19,28800,25337,23738,1599,10610,1.0,738,3,113,12009
Windermere_20,61970,54048,50746,3302,20518,1.0,1495,3,295,26337
Windermere_21,53360,45750,42644,3106,15820,1.0,1234,3,195,22549
Windermere_22,20864,18282,17252,1030,9862,1.0,605,3,99,8865
Windermere_23,92040,69083,64354,4729,26916,1.0,1545,3,273,33995
Windermere_24,63442,56130,53032,3098,26616,1.0,1407,3,305,27783
Windermere_25,56856,49333,46088,3245,17340,1.0,1515,3,316,24222
Windermere_26,50300,42846,39968,2878,17762,1.0,1373,3,232,20978
Windermere_27,74326,63613,59432,4181,23984,1.0,1579,3,288,31580
Windermere_28-0m,62538,53782,50280,3502,23512,1.0,1405,3,254,26602
Windermere_28-10m,69550,58871,54888,3983,24766,1.0,1340,3,272,29610
Windermere_28-20m,53484,45554,42622,2932,19694,1.0,1744,3,265,22001
Windermere_28-30m,39668,32768,30122,2646,7884,1.0,1019,3,195,16285
Windermere_28-40m,65004,55595,52054,3541,24774,1.0,1625,3,269,27202
Windermere_29,86172,74505,69834,4671,35530,1.0,1913,3,330,36652
Windermere_30,54398,46182,42620,3562,9790,1.0,1055,3,208,22566
Windermere_31,59980,52254,48764,3490,14192,1.0,981,3,222,25916
Windermere_32,69254,59921,55780,4141,19514,1.0,1397,3,266,29599
Windermere_34,67032,58152,54094,4058,19998,1.0,1414,3,292,28907
Windermere_35,75240,67172,63544,3628,28910,1.0,1614,3,289,33133
Windermere_36,62938,56690,53874,2816,31416,1.0,1484,3,253,27614
Windermere_37,18258,15542,14600,942,6014,1.0,559,3,112,7567
Windermere_38,43632,37068,34190,2878,7090,1.0,1014,3,216,18323
Windermere_39,38210,31587,29612,1975,11206,1.0,984,3,184,15373
Windermere_40,39728,34753,32582,2171,11510,1.0,1136,3,195,16993
Windermere_41,35004,30617,28658,1959,11566,1.0,1130,3,188,14908
Windermere_44,46256,37668,34740,2928,8950,1.0,868,3,196,18692
Windermere_45,45876,39750,37282,2468,17274,1.0,955,3,179,19681
Windermere_46,45500,38130,35018,3112,10390,1.0,891,3,178,19188
Windermere_47,1192,745,614,131,32,1.0,66,3,23,338
Windermere_48,64660,54598,51032,3566,19492,1.0,1360,3,234,27002
Windermere_49,45306,38118,35492,2626,15264,1.0,987,3,170,18932
Windermere_50,82234,60086,55812,4274,23628,1.0,1388,3,340,29984
